Market_cap,Name,Percent_change_7d,Price,Percent_change_24h,Volume_24h,Circulating_supply,Symbol
?,BagCoin,-22.94,0.00262737,-15.60,29752.0,None,BGC
?,Xaucoin,1.53,0.00257232,,0.0,None,XAU
?,UltraCoin,2.18,0.00254865,-1.26,2834.27,None,UTC
?,Neptune Classic,-7.82,0.00250805,4.71,271.818,None,NTCC
?,Darsek,-32.29,0.00241217,-2.79,3162.91,None,KED
?,CHNCoin,64.59,0.00221727,6.72,6531.61,None,CNC
?,Mavro,8.08,0.00219283,-27.61,70.5696,None,MAVRO
?,TeraCoin,-34.19,0.00206949,39.06,5745.06,None,TERA
?,netBit,17.68,0.00200679,,0.0,,NBIT
?,AvatarCoin,11.67,0.00180909,4.07,4.99786,,AV
?,GoldReserve,8.38,0.00176761,2.53,1521.31,None,XGR
?,TrickyCoin,39.26,0.00171315,2.40,7.53782,,TRICK
?,CBD Crystals,521.96,0.00171315,713.02,5.20697,,CBD
?,BestChain,89.70,0.00168574,20.91,404.765,None,BEST
?,RichCoin,11.33,0.00157295,,0.0,None,RICHX
?,Clinton,19.20,0.00146646,7.07,622.061,,CLINT
?,Quotient,10.36,0.00139793,-3.06,0.0807647,None,XQN
?,BitcoinFast,22.99,0.00137052,4.07,1.99598,None,BCF
?,GameLeagueCoin,56.12,0.00135004,3.55,0.0,,GML
?,OCOW,42.19,0.0013336,,0.0,,OCOW
?,BlazerCoin,-57.89,0.0013294,-43.28,108.231,,BLAZR
?,UR,-6.14,0.00130546,-15.33,1155.97,None,UR
?,Bitcedi,23.98,0.00124717,-2.37,18.829,None,BXC
?,President San...,-50.52,0.00113753,34.96,45.474,None,BURN
?,Alphabet Coin...,38.90,0.00110799,0.16,0.0,None,FUN
?,Grumfork,,0.00106901,-6.70,21.9283,None,GMF
?,KashhCoin,-36.45,0.00104215,-19.06,15662.7,,KASHH
?,RoyalCoin,0.98,0.000973069,26.30,57.9372,None,ROYAL
?,The Aladin,-1.05,0.000879639,,0.0,None,ADT
?,Advanced Inte...,-74.13,0.000822312,1.50,9.48784,None,AIB
?,Motocoin,-8.24,0.00082211,-64.74,3615.66,,MOTO
?,Skeincoin,78.61,0.000805072,,0.0,None,SKC
?,Vsync,-49.78,0.00078277,-11.32,1797.69,None,XVS
?,WeAreSatoshi,-9.22,0.000781196,,850.34,None,WSX
?,T-coin,6.60,0.000630439,0.17,140567.0,,TCOIN
?,RubleBit,49.59,0.000603029,-8.50,64.3373,None,RUBIT
?,MMXVI,-3.23,0.000589324,-0.56,0.589324,None,MMXVI
?,Braincoin,46.62,0.000589324,,253.637,,BRAIN
?,Ripto Bux,-27.32,0.000576081,-12.70,711.619,None,RBX
?,True Investme...,-35.79,0.000543443,0.65,0.0,None,TIC
?,Opescoin,25.12,0.000502919,0.49,0.0,None,OPES
?,Digital Bulli...,-4.46,0.000465977,,4.60096,None,DBG
