,c,g
1127,3852,1084
1128,10095,1085
1129,4825,1085
1130,11190,1086
1131,11099,1086
1132,13419,1087
1133,7983,1087
1134,12601,1088
1135,9193,1088
1136,12601,1089
1137,10363,1089
1138,9305,1090
1139,7932,1090
1140,6,1091
1141,12265,1091
1142,14608,1093
1143,11300,1093
1144,160,1094
1145,13605,1095
1146,171,1095
1147,13287,1096
1148,9095,1096
1149,10730,1097
1150,10471,1097
1151,11300,1098
1152,10043,1098
1153,11839,1099
1154,11004,1099
1155,12437,1101
1156,9847,1101
1157,9759,1102
1158,7263,1102
1159,13902,1103
1160,14527,1103
1161,13185,1104
1162,10803,1104
1163,13188,1105
1164,9180,1105
1165,9893,1106
1166,7923,1106
1167,9893,1107
1168,13624,1107
1169,10090,1108
1170,10860,1108
1171,14295,1109
1172,12067,1109
1173,9592,1110
1174,13601,1110
1175,12979,1111
1176,12062,1111
1177,9101,1113
1178,11673,1115
1179,10228,1115
1180,12954,1116
1181,12660,1116
1182,14660,1117
1183,13634,1117
1184,11185,1118
1185,14555,1119
1186,10054,1119
1187,12599,1120
1188,11823,1120
1189,14428,1121
1190,12794,1121
1191,14727,1122
1192,5798,1122
1193,10231,1123
1194,8195,1123
1195,8482,1124
1196,10887,1124
1197,9238,1125
1198,9728,1125
1199,13223,1126
1200,9396,1126
1201,278,1127
1202,8395,1127
1203,10585,1128
1204,12969,1128
1205,12071,1129
1206,12468,1129
1207,432,1130
1208,13482,1130
1209,13268,1131
1210,369,1131
1211,323,1132
1212,7771,1132
1213,12782,1133
1214,12869,1134
1215,11445,1134
1216,8465,1135
1217,2906,1135
1218,14731,1136
1219,11414,1136
1220,13745,1137
1221,13753,1138
1222,9527,1138
1223,14720,1139
1224,14686,1139
1225,12787,1140
1226,11447,1140
1227,9801,1141
1228,10816,1141
1229,14492,1142
1230,13563,1142
1231,9109,1143
1232,132,1144
1233,13551,1144
1234,14194,1145
1235,11187,1145
1236,14194,1146
1237,11187,1146
1238,14194,1147
1239,11187,1147
1240,14194,1148
1241,11187,1148
1242,14194,1149
1243,11187,1149
1244,13595,1150
1245,12248,1150
1246,9690,1151
1247,9065,1151
1248,9690,1152
1249,2216,1152
1250,14366,1153
1251,322,1153
1252,14366,1154
1253,12294,1154
1254,14366,1155
1255,322,1155
1256,14366,1156
1257,322,1156
1258,13248,1157
1259,11020,1157
1260,14662,1158
1261,14422,1158
1262,14612,1159
1263,13731,1159
1264,14529,1160
1265,13417,1160
1266,12047,1161
1267,9015,1161
1268,264,1162
1269,10613,1162
1270,12470,1163
1271,339,1164
1272,261,1164
1273,14214,1165
1274,13197,1165
1275,72,1166
1276,11589,1166
1277,12505,1167
1278,14685,1167
1279,11803,1168
1280,8532,1168
1281,7162,1168
1282,13830,1169
1283,7536,1169
1284,8827,1169
1285,11796,1170
1286,341,1170
1287,12816,1170
1288,11268,1171
1289,11262,1171
1290,6867,1171
1291,13196,1172
1292,12002,1172
1293,12370,1172
1294,10729,1173
1295,10510,1173
1296,9762,1173
1297,13486,1174
1298,14228,1174
1299,102,1174
1300,14564,1175
1301,11761,1175
1302,13660,1175
1303,11429,1176
1304,6892,1176
1305,2918,1176
1306,11803,1177
1307,7421,1177
1308,5128,1177
1309,12459,1178
1310,175,1178
1311,11747,1178
1312,13366,1179
1313,11319,1179
1314,7188,1179
1315,11185,1180
1316,1990,1181
1317,6331,1181
1318,10574,1182
1319,10830,1182
1320,13041,1182
1321,6375,1183
1322,3666,1183
1323,10440,1183
1324,10259,1184
1325,8125,1184
1326,11751,1184
1327,9402,1185
1328,12861,1185
