category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol
Red,US,Longevity 2012 Press Ton Vintner's Select Red (California),Red Blend,32.0,750 ml,89,Longevity,"Big in flavor and unabashedly tannic in texture, this dry and full-bodied Bordeaux-style blend has ripe flavors, dense concentration and firm, fine-grained tannins. Vanilla and milk chocolate aromas lead to red cherry and cranberry flavors on the palate.",14.6%
Red,US,LangeTwins 2013 Estate Grown Cabernet Sauvignon (Lodi),Cabernet Sauvignon,15.0,750 ml,89,LangeTwins,"This wine is well balanced and solidly constructed, wrapping its ripe blackberry and dark plum flavors in firm tannins. Light oak spice, vanilla and cinnamon touches are the icing on the cake.",14.4%
Red,US,La Honda Winery 2014 Sequence Pinot Noir (Santa Cruz Mountains),Pinot Noir,28.0,750 ml,89,La Honda Winery,"There's a fresh element to the nose of this bottling, with pomegranate and black raspberry fruit as well as nutmeg spice. A leathery structure arises on the palate, offering blackberry fruit, earthy loam and a eucalyptus touch.",13.4%
Red,US,Kuleto Estate 2012 El Coyote Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,80.0,750 ml,89,Kuleto Estate,"With 3% Syrah, this wine has a leathery, gamy character to it, the grapes grown at high elevation. Blueberry and blackberry notes provide a robust backdrop of fruitiness, as chewy, smoky tannins support concentrated black cherry flavor on the finish.",14.7%
Red,US,J. Lohr 2014 Gesture G-S-M (Paso Robles),G-S-M,30.0,750 ml,90,J. Lohr,"This bottling belongs to a series of wines from the legendary Jerry Lohr emphasizing Rhne varieties. It shows candied blackberry, violets and potpourri on the fruity, flowery and inviting nose. The palate leads with savory black pepper, which accents its core of black plum, blackberry and purple flower flavors.",14.2%
White,US,Keuka Lake Vineyards 2015 Estate Grown and Bottled Semi-Dry Riesling (Finger Lakes),Riesling,17.0,750 ml,89,Keuka Lake Vineyards,"Pretty whiffs of rose petal and stone fruit mark this fragrant sunny semidry Riesling. Suggesting delicate extractions of apricot and white peach, it's softer and rounder on the palate than Keuka Lake Vineyard's dry Rieslings. The finish is brisk and citrus.",11.2%
Red,US,Firestone 2013 Lineage The Chairman Series Red (Santa Ynez Valley),Bordeaux-style Red Blend,50.0,750 ml,88,Firestone,"This hearty blend of 35% Cabernet Sauvignon, 27% Cabernet Franc, 24% Merlot and 14% Petit Verdot offers blackberry, smoked beef, vanilla, cola and anise scents on the nose. The palate is tightly wound, its boysenberry fruit and dark soil minerality leading into a finish laced with licorice spice.",14.7%
Red,US,Dr. Konstantin Frank 2013 Lemberger (Finger Lakes),Lemberger,22.0,750 ml,90,Dr. Konstantin Frank,"Gorgeously purple in hue, this sharp, peppery Lemberger offers loads of concentrated blackberry and plum flavors. It's lavishly textured yet sharply balanced, marked by crisp acidity and fine tannins. Savory complexities of smoked meat and tobacco linger through a long, velvety finish.",13%
Red,US,Matteo 2012 Red Wine Merlot (Columbia Valley (WA)),Merlot,140.0,750 ml,88,Matteo,"Though not labeled as such, this wine is all Merlot coming from Stillwater Creek Vineyard on the Royal Slope. Aromas of red currant, dill, vanilla and wood spice are followed by lighter styled red-fruit flavors. There are some intriguing things going on but they don't seem to all come together.",15%
White,US,Lucinda & Millie 2015 Made With Organic Grapes Chardonnay (Mendocino County),Chardonnay,15.0,750 ml,88,Lucinda & Millie,"This is an easy-drinking, well-balanced wine that combines lightly spicy, buttery aromas with fresh apple and white peach flavors. It's versatile with food and crisp enough for a pre-dinner drink to whet the appetite.",13.5%
Red,US,Kuleto Estate 2012 Villa Vista Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,80.0,750 ml,88,Kuleto Estate,"Small amounts of Syrah and Sangiovese accent this red, which starts out subtle on the nose before unveiling a wealth of smoky tannin and meaty girth. Concentrated and dense, it has herbal touches of oregano and sage.",14.7%
Red,US,Trenza 2012 Tinto Red (San Luis Obispo County),Red Blend,33.0,750 ml,88,Trenza,"Although the nose of this blend of Tempranillo, Syrah and Grenache starts out subtly, it opens into deeper aromas of blueberry, soy and char. The palate is dry and tightly wound, its mineral flavors of graphite, slate and lava rock leading to blue fruit and tobacco touches on the finish.",14.8%
Red,US,Transmission 2015 Zinfandel (Paso Robles),Zinfandel,25.0,750 ml,88,Transmission,"Bright, juicy red raspberry and bramble aromas meet red spice and earthy loam characteristics on the nose of this bottling. Medium in density on the palate, it's playful and flavorful, if not especially complex, with hints of wild thyme giving herbal nuance its core of red fruit.",13.5%
White,US,Thirsty Owl Wine Company 2015 Riesling (Finger Lakes),Riesling,15.0,750 ml,88,Thirsty Owl Wine Company,"Subtle tones of smoked nut and smoky mineral accent easy fruity yellow-apple and grapefruit flavors in this delicate off-dry Riesling. A burst of sunny lemonade acidity brightens the midpalate leaving a brisk, clean finish.",11.7%
Red,US,Terlato 2013 Cardinals' Peak Red (Napa Valley),Bordeaux-style Red Blend,50.0,750 ml,88,Terlato,"This blends 78% Cabernet Sauvignon, 17% Merlot and 5% Petit Verdot into a tightly woven package of red fruit, soft tannin and robust concentration. Full bodied, it shows the warmth and distinct power of the vintage.",14.8%
White,US,Taken Wine Co. 2015 Complicated Chardonnay (Sonoma Coast),Chardonnay,18.0,750 ml,88,Taken Wine Co.,"Stylistically focused in its clear embrace of fruit and cool-climate acidity, this balanced white is honeysuckle-inflected, with steely pear and orange blossom elements, unfettered by oak.",14.1%
White,US,DeLorimier 2014 Estate Chardonnay (Alexander Valley),Chardonnay,32.0,750 ml,88,DeLorimier,"Marked by a taste of salty caramel pretzel and baked apple, this is a full-bodied, robustly concentrated wine underpinned by sharp acidity. Peach, pear and melon flavors take turns playing supporting roles.",14.8%
White,US,Chateau Ste. Michelle 2015 Harvest Select Sweet Riesling (Columbia Valley (WA)),Riesling,9.0,750 ml,88,Chateau Ste. Michelle,Aromas of honeysuckle and ripe peach lead to lightly spritzy medium-sweet stone-fruit flavors. It provides easy-drinking appeal.,10.5%
White,US,Buena Vista 2014 Jovita's Selection Chardonnay (Sonoma Coast),Chardonnay,42.0,750 ml,88,Buena Vista,"Reduced on the nose, this wine's petrol-like aromas dissipate as it opens, unveiling a sharp take on preserved lemon, Gravenstein apple and subtle oak flavors, its acidity reasonably sharp.",14.5%
White,US,Acacia 2014 Winery Lake Vineyard Estate Grown Chardonnay (Carneros),Chardonnay,36.0,750 ml,88,Acacia,"Crisp golden apple and pear meet toasted oak in both aroma and flavor in this simply structured, light-bodied white. While it remains crisp and mineral-driven on the midpalate, it lacks complexity on the finish, getting to its point succinctly.",13.5%
Red,US,Keating 2012 Montecillo Vineyard Cabernet Sauvignon (Moon Mountain District Sonoma County),Cabernet Sauvignon,48.0,750 ml,88,Keating,"This is a big-boned, dusty varietal wine, aged in 50% new French oak. Oak spice scents enwrap its leathery blackberry and black currant flavors, finishing on a bittersweet taste of tobacco.",14.9%
Red,US,Whitehall Lane 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,42.0,750 ml,88,Whitehall Lane,"This medium-bodied red includes 8% Merlot, 3% Petit Verdot and 3% Malbec. Toasted oak scents lead the nose, followed by generous cherry, cranberry and cassis notes on the palate, supported by soft acidity.",14.2%
Red,US,Dunham 2012 Lewis Vineyard Artist Series Merlot (Columbia Valley (WA)),Merlot,75.0,750 ml,90,Dunham,"Fruit and barrel aromas intermingle, with notes of vanilla, coconut, wood spice, clove and red berries. The red fruit flavors are fresh and focused, with lightly grainy tannins providing the frame.",14%
Red,US,Firestone 2013 Lineage The Chairman Series Red (Santa Ynez Valley),Bordeaux-style Red Blend,50.0,750 ml,88,Firestone,"This hearty blend of 35% Cabernet Sauvignon, 27% Cabernet Franc, 24% Merlot and 14% Petit Verdot offers blackberry, smoked beef, vanilla, cola and anise scents on the nose. The palate is tightly wound, its boysenberry fruit and dark soil minerality leading into a finish laced with licorice spice.",14.7%
Red,US,Talley 2014 Pinot Noir (Arroyo Grande Valley),Pinot Noir,36.0,750 ml,88,Talley,"Tangy raspberry, hibiscus and sweet pomegranate notes meet a brick-like minerality on the nose of this appellation blend. It's light and easy on the palate, its fruit notes lifted by hints of cola and chaparral spice.",13.8%
White,US,SOLID 2015 Chardonnay (Carneros),Chardonnay,20.0,750 ml,88,SOLID,"From a husband-and-wife team, this impressive white is tart and stony with delicate pear and apricot flavors. Medium bodied and moderate in acidity, it shows more oak intensity and power on the finish.",14.2%
Red,US,Sand Point 2013 Cabernet Sauvignon (Lodi),Cabernet Sauvignon,12.0,750 ml,88,Sand Point,"Structured and smooth at the same time, this full-bodied wine tastes balanced and complete, its ripe black cherry and dark plum flavors moderated by firm tannins and light acidity. It will be a crowd-pleaser; easy to sip but bold enough to match rich food.",14.3%
Red,US,Raymond 2014 LVE Legend Vineyard Exclusive Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,85.0,750 ml,88,Raymond,"A collaboration between the Napa winery and musician John Legend, this vintage sees the addition of 16% Petit Verdota hearty imprint that is powerful on the palate. Moderate acidity and bittersweet oak meld with dried herb, cedar and graphite touches. Rich, chocolate-covered black cherry flavor lingers on the finish.",15%
White,US,Raphael 2015 Primo Reserve White (North Fork of Long Island),White Blend,35.0,750 ml,88,Raphael,"Tones of caramel, vanilla, smoke and orange peel lend exotic appeal to this unusual oak-aged blend of Riesling, Sauvignon Blanc and Smillon. Dry in style with delicate body, it offers a savory array of nut and spice notes accenting pressed apple, pear and lemon flavors. The finish is sumptuously spicy.",12.3%
Red,US,Provenance Vineyards 2013 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,59.0,750 ml,88,Provenance Vineyards,"Softly layered with blue fruit and clove, this bold, full-bodied wine is densely concentrated with ripe tannins. Dusty cocoa powder and a gravelly minerality show through its richness.",15.3%
White,US,Dolin 2014 Malibu Newton Canyon Chardonnay (Malibu-Newton Canyon),Chardonnay,39.0,750 ml,90,Dolin,"From a vineyard at 1,400 to 1,800 feet in elevation in the rocky mountains above Malibu, this bottling offers loads of citrus pith on the nose, with a nutty warmth and touches of lemongrass and chilled apple flesh. It's full and rounded on the palate, finishing on Macadamia nut, white peach, sea salt and pecan notes.",14.1%
White,US,Napa Cellars 2014 V Collection Chardonnay (Carneros),Chardonnay,40.0,750 ml,88,Napa Cellars,"This wine opens with clarified butter and graham cracker aromas, following through on the palate with a bite of honey. Broad-shouldered, its midpalate is steeped in lemony acidity and green apple notes, remaining steely on the finish.",13.9%
White,US,Michael David 2015 Sauvignon Blanc (Lodi),Sauvignon Blanc,16.0,750 ml,88,Michael David,"Not at all a fruit bomb, this medium-bodied wine smells like salt and pepper, has lightly earthy and herbal flavors and a crisp mouthfeel. It will prove a pleasant accompaniment to your next lunch or dinner.",13.5%
Red,US,Leaping Horse 2015 Cabernet Sauvignon (California),Cabernet Sauvignon,10.0,750 ml,88,Leaping Horse,"Great flavor complexity in a slight frame makes this medium-bodied wine fascinating to smell and taste. It shows a range of spice and earthy notes, from nutmeg and cinnamon to tobacco, backed by ripe cherry and plum flavors. Moderate tannins and a smooth texture complete the picture.",13.5%
Red,US,Latah Creek NV Mike's Reserve Red (Columbia Valley (WA)),Bordeaux-style Red Blend,20.0,750 ml,88,Latah Creek,"This wine is a blend of Cabernet Sauvignon (58%), Malbec (22%) and Merlot. Aromas of blue and red fruit and spice lead to tart, broad fruit flavors that winnow somewhat toward the finish. Still, it brings a lot of enjoyment.",13.5%
Red,US,Kessler-Haak 2014 Lafond Vineyard Syrah (Sta. Rita Hills),Syrah,40.0,750 ml,88,Kessler-Haak,"Blackberry, soy, purple flower and caramel scents show on the nose of this bottling from a cool-climate vineyard. Deep blackberry and black currant fruit shows on the palate, accented with hints of beef char, lavender and thyme.",15.2%
Red,US,Ironstone 2013 Reserve Kramer Ranch Cabernet Sauvignon (Sierra Foothills),Cabernet Sauvignon,65.0,750 ml,88,Ironstone,"Mint and sage hints in this wine's aroma give way to powerful oak and dark fruit flavors on the palate. A wealth of fine-grained tannin gives it plenty of grip, its fresh-cut oak flavors expanding with each sip, dominating the finish.",14.5%
Red,US,HandCraft 2014 Artisan Collection Cabernet Sauvignon (California),Cabernet Sauvignon,9.0,750 ml,88,HandCraft,"This admittedly oaky wine makes an attractive package of cedary, savory aromas and rich fruit flavors. It's playful on the nose, with rosemary and forest floor aromas, and almost-sweet Bing cherry flavors on the full-bodied and smooth palate.",14%
Red,US,Trenza 2012 Mosaico Red (San Luis Obispo County),Red Blend,33.0,750 ml,88,Trenza,"This blends cool-climate Syrah (50%) from the Edna Valley with warmer-site Petite Sirah (45%) and Grenache (5%) and shows candied cinnamon, black cherry, plum and cedar aromas. Tangy black plum and raspberry notes lead the palate, underpinned by chewy tannins.",14.4%
Red,US,J. Lohr 2014 Tower Road Petite Sirah (Paso Robles),Petite Sirah,35.0,750 ml,89,J. Lohr,"Fresh and inviting on the nose, this bottling from the Estrella and San Miguel subdistricts shows black cherry pie, clove, vanilla and buttered rum aromas. It's incredibly rich on the palate, with caramelized black fruit, vanilla and cola flavors, bolstered by a minerally backbone and iodine touches.",14.9%
White,US,Hosmer 2015 Riesling (Cayuga Lake),Riesling,15.0,750 ml,89,Hosmer,"Intense aromas of smoke and struck matches blow off with aeration, allowing pretty grapefruit, lime and lemongrass notes to come through. While a touch racy and light in body, it's a ripe richly fruity wine with subtle accents of earth, pine frond and lime pith.",11.7%
Red,US,Chateau Ste. Michelle 2014 Indian Wells Merlot (Columbia Valley (WA)),Merlot,18.0,750 ml,90,Chateau Ste. Michelle,"The aromas bring notes of milk chocolate, spice and red fruit, along with high-toned vanilla accents. The fruit and barrel flavors are plush and full, while still showing a lovely sense of balance.",14.5%
White,US,Tolosa 2015 Poletti Edna Ranch Chardonnay (Edna Valley),Chardonnay,75.0,750 ml,90,Tolosa,"Sweetgrass, tangerine rind and lemon cream scents show on the inviting nose of this bottling. The palate is soft and broad, with rounded marzipan and lemon butter flavors. A stony sharpness keeps it taut.",14.2%
White,US,Sixteen by Twenty 2014 Chardonnay (Sonoma Coast),Chardonnay,40.0,750 ml,90,Sixteen by Twenty,"Briny green olive notes underlie a tropically ripe, full-bodied expression of the variety. The wine's apple, pineapple and mango fruit is wrapped in toasted oak and moderate acidity.",14.5%
Red,US,Pure Cru 2012 Signature Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,48.0,750 ml,90,Pure Cru,"Winemaker Mitch Cosentino blends 12% Merlot and 4% Cabernet Franc in this densely textured wine that opens slowly in the glass. Cassis, cherry and leather are bound by a solid frame that's structured to age.",14.4%
White,US,Noble Tree 2014 Chalk Hill Estate Chardonnay (Chalk Hill),Chardonnay,18.0,750 ml,90,Noble Tree,"Medium-bodied and tightly integrated in terms of oak, this wine imparts favorable anise and pear characteristics, with a lively spritz to the acidity that provides freshness.",14.1%
Red,US,Mounts 2014 Old Vine Estate Grown Zinfandel (Dry Creek Valley),Zinfandel,36.0,750 ml,90,Mounts,"Brick red in color, this wine also smells of brick and smoke. On the palate, it's moderately structured and robustly ripe, showing burly blueberry and mocha chocolate flavors with unfettered fervor.",15.8%
Red,US,McGregor 2012 Black Russian Red (Finger Lakes),Red Blend,60.0,750 ml,90,McGregor,"This robust concentrated red is made from an unusual field blend of Sereksiya Charni and Saperavi, two grape varieties more known in Eastern Europe than the United States. It's lush in black-cherry flavor, accented with chocolate, black pepper, vanilla and spice, but also densely tannic and searing in acidity. While unwieldy in its youth, it's a wine that consistently shows excellence with maturity. Hold till 2025.",13%
Red,US,Kale 2014 Heritage McGah Vineyard Red (Rutherford),Rhne-style Red Blend,60.0,750 ml,90,Kale,"This blend of 87% Grenache, 8% Mourvdre and 5% Syrah is big, bold and robustly flavored, showing its youth. Juicy cherry and licorice flavors are edged in smoke and tannin. The cinnamon-laced finish is soft and long.",15.5%
White,US,Fleur 2014 Chardonnay (Carneros),Chardonnay,19.0,750 ml,90,Fleur,"This wine has a high-toned richness that presents as clean and linear. Briny olive notes define the opening aroma, while more developed pear, apple and peach flavors fill out the palate.",13.8%
White,US,Raconteur 2015 White (Washington),White Blend,19.0,750 ml,90,Raconteur,"This wine is a unique blend of Chenin Blanc (75%) and Gruner Veltliner. It brings light aromas of apple skin, flowers, spice and a hint of tropical fruit. The palate offers electric, lemony acidity that stretches out the fruit flavors on the lingering finish. Try it on the dinner table to see it at its best.",13%
White,US,Raymond 2014 Reserve Selection Chardonnay (Napa Valley),Chardonnay,24.0,750 ml,90,Raymond,"Rock candy and bright lemon flavors form the core of this young, tightly wound white, wrapped in toasty oak. A stony, gravelly texture gives it a touch of complexity.",14.5%
White,US,Ferrari-Carano 2015 Fum Blanc (Sonoma County),Fum Blanc,14.0,750 ml,90,Ferrari-Carano,"With searing, upfront acidity, this wine takes on a briny character that accents the high-toned lemon zest and melon notes on the palate. Aged only in old French oak and stainless steel, its fruit remains fresh and unencumbered through the finish.",13.8%
White,US,Falkner 2015 Chardonnay (Temecula Valley),Chardonnay,25.0,750 ml,90,Falkner,"This is proof that excellent Chardonnay can come from this warm region in Southern California. Key lime pie, peach blossom and shaved apple aromas show on the nose. The palate sizzles with acidity and a savory hit of sea salt, with a core of Asian pear and stone fruit flavors.",14.5%
White,US,Eternal 2014 Patience Roussanne (Walla Walla Valley (WA)),Roussanne,40.0,750 ml,90,Eternal,"Walla Walla Valley-designated white wines are a rarity. This one brings aromas of apple skin and pear, showing a very clean profile that leads to dry creamy-feeling fruit flavors. It's capped off by a warm finish, speckled with barrel accents. Overall, it provides a lot of intrigue.",14.5%
Red,US,Mounts 2014 Old Vine Estate Grown Zinfandel (Dry Creek Valley),Zinfandel,36.0,750 ml,90,Mounts,"Brick red in color, this wine also smells of brick and smoke. On the palate, it's moderately structured and robustly ripe, showing burly blueberry and mocha chocolate flavors with unfettered fervor.",15.8%
Red,US,Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley),Zinfandel,32.0,750 ml,90,Del Carlo Winery,"Juicy and austere in understated waves of cranberry and cherry fruit, this wine delivers subtle power and intensity in a leathery-textured package. True to its old vine heritage, it shows a dry dustiness of peppery spice.",15.5%
White,US,Robert Mondavi 2014 Reserve Chardonnay (Carneros),Chardonnay,55.0,750 ml,90,Robert Mondavi,"Golden apple and honey flavors commingle on the palate, framed by high-toned acidity and toasted oak richness. Medium-bodied and moderately ripe, it offers a sophisticated, food-friendly and complex experience, capped off by nutmeg notes that linger on the finish.",13.5%
Red,US,Kale 2014 Heritage McGah Vineyard Red (Rutherford),Rhne-style Red Blend,60.0,750 ml,90,Kale,"This blend of 87% Grenache, 8% Mourvdre and 5% Syrah is big, bold and robustly flavored, showing its youth. Juicy cherry and licorice flavors are edged in smoke and tannin. The cinnamon-laced finish is soft and long.",15.5%
Red,US,Shaw 2014 Unoaked Reserve Cabernet Franc (Finger Lakes),Cabernet Franc,25.0,750 ml,90,Shaw,"Pure blackberry and cherry flavors shine in this pristinely fruity yet nuanced red. Unoaked, unfiltered and unrefined, it's a fascinating glimpse into Finger Lakes Cabernet Franc without makeup or adjustment. Crisp, cranberry acidity is sharp and penetrating on the midpalate, accentuating a long finish marked by subtle tones of green herb and tobacco leaf.",13%
White,US,Fleur 2014 Chardonnay (Carneros),Chardonnay,19.0,750 ml,90,Fleur,"This wine has a high-toned richness that presents as clean and linear. Briny olive notes define the opening aroma, while more developed pear, apple and peach flavors fill out the palate.",13.8%
White,US,Ferrari-Carano 2015 Fum Blanc (Sonoma County),Fum Blanc,14.0,750 ml,90,Ferrari-Carano,"With searing, upfront acidity, this wine takes on a briny character that accents the high-toned lemon zest and melon notes on the palate. Aged only in old French oak and stainless steel, its fruit remains fresh and unencumbered through the finish.",13.8%
White,US,Falkner 2015 Chardonnay (Temecula Valley),Chardonnay,25.0,750 ml,90,Falkner,"This is proof that excellent Chardonnay can come from this warm region in Southern California. Key lime pie, peach blossom and shaved apple aromas show on the nose. The palate sizzles with acidity and a savory hit of sea salt, with a core of Asian pear and stone fruit flavors.",14.5%
White,US,Eternal 2014 Patience Roussanne (Walla Walla Valley (WA)),Roussanne,40.0,750 ml,90,Eternal,"Walla Walla Valley-designated white wines are a rarity. This one brings aromas of apple skin and pear, showing a very clean profile that leads to dry creamy-feeling fruit flavors. It's capped off by a warm finish, speckled with barrel accents. Overall, it provides a lot of intrigue.",14.5%
Red,US,Dunham 2013 Trutina Red (Columbia Valley (WA)),Red Blend,29.0,750 ml,90,Dunham,"Cabernet Sauvignon and Merlot make up the majority of this blend (42% each), with Malbec, Petit Verdot and Syrah rounding it out. Aromas of toast, vanilla, cocoa, cherry and herb lead to sweet, elegant chocolate and cherry flavors, threaded with vanilla notes.",13.8%
Red,US,Dracaena 2014 Cabernet Franc (Paso Robles),Cabernet Franc,32.0,750 ml,90,Dracaena,"This winery was named after the Dragon's Blood tree, and the label for this bottling features the owners' late Weimaraner, Draco. The wine itself shows dark red fruit and cinnamon on the nose, with savory touches of white pepper, thyme and oregano. The palate's tangy cranberry fruit is paired with herbal notes, leather and tobacco.",14.3%
Red,US,The Farm Winery 2013 LPF Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,65.0,750 ml,90,The Farm Winery,"This bottling, which is enhanced by 2% Petit Verdot, shows deep black plum, dark chocolate and bright strawberry touches with a slight hint of barnyard on the nose. The latter element carries into the palate as well, adding nuance to the black cherry, fennel and milk chocolate flavors, all wrapped in firm tannins.",12.9%
Red,US,Tolosa 2015 1772 Edna Ranch Pinot Noir (Edna Valley),Pinot Noir,65.0,750 ml,90,Tolosa,"Quite dark in the glass, this bottling offers black plum skin, clay, gravel and berry pie aromas. The mouthfeel is full of polished tannins and edged with sharp acidity. Dark fruit and wet earth flavors dominate.",90%
Red,US,Two Dogs Barking 2014 Zinfandel (Ramona Valley),Zinfandel,30.0,750 ml,90,Two Dogs Barking,"With its quirky cartoon label, this is a very enjoyable wine from an obscure region northeast of San Diego. Bright and vibrant on the nose with cola, dried violet and plump plum fruit aromas, this bottling is unabashedly jammy. Root beer, black plum, cocoa and nutmeg spice mark the palate. Just a fun, juicy treat.",14.2%
Red,US,Cuda Ridge Wines 2014 Cabernet Franc (Livermore Valley),Cabernet Franc,36.0,750 ml,90,Cuda Ridge Wines,"Although full-bodied and rich in texture, this wine is restrained in terms of ripeness and oak. It has good balance, a quiet blend of black cherry, clove and dark chocolate flavors and a firm, fine-grained tannins. Best after 2019.",14.3%
Red,US,Cielo 2012 Malibu Estate Cabernet Sauvignon (Saddle Rock-Malibu),Cabernet Sauvignon,100.0,750 ml,90,Cielo,"Dark chocolate, smoke and asphalt aromas show on the nose of this bottling from a rocky vineyard near Mulholland Drive. The palate opens with thick, chalky structure and strong acidity, slowly revealing bright blackberry and milk chocolate flavors.",15.99%
Red,US,Flora Springs 2013 Rennie Reserve Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,150.0,750 ml,90,Flora Springs,"Meaty, dusty and leather-scented, this 100% varietal reserve-level wine is elusive in its fruit expression at first, reveal ing instead densely packed layers of black pepper and tannin. As it opens, more complex cocoa powder, black cherry and currant notes emerge.",14.2%
Red,US,McGregor 2012 Black Russian Red (Finger Lakes),Red Blend,60.0,750 ml,90,McGregor,"This robust concentrated red is made from an unusual field blend of Sereksiya Charni and Saperavi, two grape varieties more known in Eastern Europe than the United States. It's lush in black-cherry flavor, accented with chocolate, black pepper, vanilla and spice, but also densely tannic and searing in acidity. While unwieldy in its youth, it's a wine that consistently shows excellence with maturity. Hold till 2025.",13%
White,US,White Rock Vineyards 2014 Reserve Chardonnay (Napa Valley),Chardonnay,62.0,750 ml,90,White Rock Vineyards,"From the oldest vines sourced by the producer, this reserve-tier wine delivers tart, briny apple and pear flavors with a high-toned squeeze of lemon. Aged in 30% new French oak, it balances richness with elegance and delicacy.",14.7%
Red,US,Niner 2014 BR Reserve Estate Grown Carmenre (Paso Robles),Carmenre,65.0,750 ml,90,Niner,"Carmenre is a rarity in California, but this bottling, which includes 8% Cabernet Sauvignon and 1% Cabernet Franc, makes a strong case for planting more. Smoky blueberry and black currant scents meet with bacon fat, toast and rocky minerality on the nose. The palate blends black plum with vanilla bean and mocha flavors. Quite accessible, interesting and delicious.",14.1%
White,US,Mounts 2015 Estate Grown Picpoul (Dry Creek Valley),Picpoul,35.0,750 ml,90,Mounts,"Juicy and high in acidity, this is an easy quaffer, begging to be paired with fresh sea fare, be it oysters or cracked crab. Rare in California and usually considered a blending agent for Rhne whites, the grape shows potential from this estate.",14.2%
Red,US,Col Solare 2013 Component Collection Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,85.0,750 ml,90,Col Solare,"Wound up aromas of blackberry, spice box and wood spice are followed by pitch-black black-cherry flavors. The tannins are tightly coiled and need some time to unwind.",14.5%
Red,US,Eternal 2014 Rocketman Red (Columbia Valley (WA)),Bordeaux-style Red Blend,25.0,750 ml,89,Eternal,"This wine is a blend of Merlot (45%), Cabernet Sauvignon (40%), Petit Verdot (10%) and Cabernet Franc. Aromas of savory herb, carob, wood spice and cherry lead to plump fruit-forward flavors that also show intriguing earthy accents. The finish lingers. There are lots of good things going on but the wood seems a bit prominent.",14.5%
Red,US,Columbia Winery 2014 Limited Release Malbec (Columbia Valley (WA)),Malbec,35.0,750 ml,89,Columbia Winery,"Aromas of plum, clove, coffee and wood spice lead to plush plump fruit flavors. The tannins give a light squeeze.",14.2%
Red,US,Camaraderie 2014 Chandler Reach Vineyard Sangiovese (Yakima Valley),Sangiovese,29.0,750 ml,89,Camaraderie,"Aromas of cigar box, herb and cherry are followed by bright tart acid-driven cranberry flavors. The tannins bring a light astringency but it delivers a lot of enjoyment.",14.3%
White,US,William Hill Estate 2014 Benchland Series Chardonnay (Napa Valley),Chardonnay,40.0,750 ml,89,William Hill Estate,"This is a full-bodied, decidedly rich white, generous in barrel toast and graham cracker scents. Baked apple pie flavors keep it feeling luxurious on the palate, its concentration persisting through the finish.",14.9%
Red,US,Seven Falls 2014 Rapids Red (Wahluke Slope),Red Blend,18.0,750 ml,89,Seven Falls,"Vanilla, mocha and dark-fruit aromas lead to tart fruit and barrel flavors that interweave through the vanilla-filled finish.",14.5%
Red,US,EOS 2015 Estate Petite Sirah (Paso Robles),Petite Sirah,20.0,750 ml,90,EOS,"Black cherry, dark chocolate, coffee and mint touches show on the nose of this approachable bottling. The palate is solidly structured, pairing soy and licorice flavors with tangy black-plum and elderberry fruit.",13.9%
White,US,Wente 2015 Morning Fog Chardonnay (Livermore Valley),Chardonnay,15.0,750 ml,89,Wente,"Lightly minty and peachy in aroma, this wine also delivers rich butter, vanilla and pear flavors and a smooth texture on the palate. A butterscotch note lingers on the finish.",13.5%
White,US,Silver Thread 2015 STV Estate Vineyard Riesling (Seneca Lake),Riesling,26.0,750 ml,89,Silver Thread,"While initially subdued on the nose, this zesty citrus-kissed Riesling offers loads of lemon and lime vitality. It's crisp and light bodied with a finish that's dry and mineral.",11.2%
White,US,Silver Thread 2015 Doyle Fournier Vineyard Riesling (Seneca Lake),Riesling,26.0,750 ml,89,Silver Thread,"Pretty orange blossom notes morph into zesty white grapefruit and lime in this exceptionally light off-dry Riesling. It's delicately concentrated on the palate but offers loads of invigorating, waterfall-like refreshment.",10.5%
White,US,Raymond 2014 LVE Legend Vineyard Exclusive Chardonnay (Napa Valley),Chardonnay,45.0,750 ml,89,Raymond,"This robust, full-bodied white is dark gold in hue, floral on the nose and voluptuously rich and layered. Honeyed creme brle flavors make it inviting and ripe, with an elegance on the finish.",14.5%
White,US,Heron Hill 2015 Semi-Dry Riesling (Finger Lakes),Riesling,15.0,750 ml,89,Heron Hill,"Blossomy and fragrant from start to finish, this semisweet Riesling offers loads of spring floral freshness. Crisp apple and pear flavors are a bit lean in concentration, but sunny lemon acidity lingers brightly on the finish.",11.5%
