"12/13 1:00 ET" "At New England" -12.5 Carolina 43.5 "-$675 +$450" 2009 14
"12/13 1:00 ET" "At Houston" -7 Seattle 44.5 "-$330 +$260" 2009 14
"12/13 4:05 ET" "At Tennessee" -14 "St. Louis" 40 "-$800 +$600" 2009 14
"12/13 4:05 ET" Washington -2 "At Oakland" 37.5 "-$135 +$115" 2009 14
"12/13 4:15 ET" "At Dallas" -3.5 "San Diego" 49 "-$180 +$155" 2009 14
"12/13 8:20 ET" Philadelphia -1 "At NY Giants" 43 "-$120 +$100" 2009 14
"12/14 8:35 ET" Arizona -4 "At San Francisco" 45 "-$225 +$185" 2009 14
"12/4 8:15 ET" "At San Diego" -9.5 Oakland 41 "-$450 +$375" 2008 14
"12/7 1:00 ET" "At Indianapolis" -13.5 Cincinnati 41.5 "-$700 +$550" 2008 14
"12/7 1:00 ET" "At Chicago" -6.5 Jacksonville 40 "-$290 +$245" 2008 14
"12/7 1:00 ET" "At Green Bay" -7 Houston 47.5 "-$300 +$250" 2008 14
"12/7 1:00 ET" "At Tennessee" -14 Cleveland 37 "-$750 +$550" 2008 14
"12/7 1:00 ET" Minnesota -10.5 "At Detroit" 45 "-$550 +$450" 2008 14
"12/7 8:15 ET" "At Baltimore" -6.5 Washington 35 "-$300 +$250" 2008 14
"12/7 1:00 ET" "At NY Giants" -6.5 Philadelphia 40.5 "-$270 +$230" 2008 14
"12/7 1:00 ET" "At New Orleans" -3 Atlanta 52 "-$165 +$145" 2008 14
"12/7 4:05 ET" "NY Jets" -4.5 "At San Francisco" 45 "-$215 +$185" 2008 14
"12/7 4:05 ET" "At Buffalo" -1.5 Miami 42.5 "-$125 +$105" 2008 14
"12/7 4:05 ET" "At Denver" -9 "Kansas City" 49 "-$425 +$355" 2008 14
"12/7 4:15 ET" "At Arizona" -15 "St. Louis" 48.5 "-$825 +$625" 2008 14
"12/7 4:15 ET" "At Pittsburgh" -4 Dallas 38.5 "-$210 +$175" 2008 14
"12/7 4:05 ET" "New England" -7 "At Seattle" 42.5 "-$290 +$240" 2008 14
"12/8 8:35 ET" "At Carolina" -3 "Tampa Bay" 40 "-$180 +$160" 2008 14
"12/6 8:15 ET" "At Washington" -3 Chicago 39.5 "-$165 +$145" 2007 14
"12/9 1:00 ET" "At Jacksonville" -11 Carolina 39 "-$600 +$425" 2007 14
"12/9 1:00 ET" Dallas -10.5 "At Detroit" 51 "-$600 +$425" 2007 14
"12/9 1:00 ET" "At Buffalo" -7 Miami 34.5 "-$300 +$250" 2007 14
"12/9 1:00 ET" "At Philadelphia" -3 "NY Giants" 42 "-$160 +$140" 2007 14
