"","btc_usd","usd_vol","btc_eur","eur_vol","btc_cad","cad_vol","btc_aud","aud_vol","btc_gbp","gbp_vol","btc_jpy","jpy_vol","btc_cny","cny_vol","btc_brl","brl_vol","btc_rub","rub_vol","btc_sll","sll_vol","USDEUR","USDGBP","USDCAD","USDJPY","USDAUD","USDCNY","USDRUB","USDSLL","oil","gold","VTWSX","EEM","EFA","XCI","btc_USDEUR","btc_USDGBP","btc_USDCAD","btc_USDAUD","btc_USDJPY","btc_USDCNY","btc_USDRUB","btc_USDBRL","btc_USDSLL"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72622,0.6572,1.0189,90.540001,1.093,6.8154,29.277,NA,NA,NA,15.239403,36.002186,45.087746,889.940002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73113,0.66426,1.0189,90.32,1.0945,6.8161,29.443001,NA,NA,NA,15.171103,35.741108,44.77182,886.849976,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72628,0.6563,1.0133,90.290001,1.0881,6.816,29.3214,NA,NA,NA,15.341853,36.202339,45.338863,892.669983,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72789,0.65283,1.0102,90.403,1.0828,6.817,29.137501,NA,NA,NA,15.435761,36.593952,45.581875,895.880005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73454,0.65558,1.0136,90.480003,1.0855,6.8175,29.202801,NA,NA,NA,15.376001,36.315472,45.314556,897,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73872,0.66587,1.0165,90.519997,1.0915,6.8165,29.2673,NA,NA,NA,15.265015,35.845539,44.852821,890.080017,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73708,0.6619,1.01681,90.339996,1.0887,6.8168,29.5215,NA,NA,NA,15.316239,35.97607,44.982433,895.900024,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7425,0.66572,1.01643,90.365997,1.0894,6.8166,29.533001,NA,NA,NA,15.418688,36.228443,45.298355,904.450012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75013,0.67119,1.0235,92.014,1.0966,6.8171,29.691,NA,NA,NA,15.256477,35.688885,44.553104,901.469971,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75148,0.67363,1.02369,92.513,1.1006,6.8174,29.523899,NA,NA,NA,15.222328,35.593163,44.528805,903.559998,NA,NA,NA,NA,NA,NA,NA,NA,NA
