,gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre,rating,audience,First_Week
8453,"$4,244,155","R,2012-05-11","Jeff, Who Lives at Home","6.5 based on 57,315 user ratings","$10,000,000",Jay Duplass,83M,"Jason Segel,Ed Helms,Judy Greer","         $855,709        

      (USA)
      ",2011,"Comedy,Drama",6.5,"57,315"," $855,709"
8454,"$16,300,302","R,2011-12-16",Young Adult,"6.3 based on 66,973 user ratings","$12,000,000",Jason Reitman,94M,"Charlize Theron,Patrick Wilson,Patton Oswalt","         $310,263        

      (USA)
      ",2011,"Comedy,Drama",6.3,"66,973"," $310,263"
8455,"$69,772,969","R,2001-06-08",Swordfish,"6.5 based on 159,816 user ratings","$102,000,000",Dominic Sena,99M,"John Travolta,Hugh Jackman,Halle Berry","         $18,145,632        

      (USA)
      ",2001,"Action,Crime,Thriller",6.5,"159,816"," $18,145,632"
8456,"$56,607,223","PG-13,2001-08-17",Rat Race,"6.4 based on 96,132 user ratings","$48,000,000",Jerry Zucker,112M,"Breckin Meyer,Amy Smart,Whoopi Goldberg","         $11,662,094        

      (USA)
      ",2001,"Adventure,Comedy",6.4,"96,132"," $11,662,094"
8457,"$30,324,946","PG-13,1998-10-02",A Night at the Roxbury,"6.2 based on 50,086 user ratings","$17,000,000",John Fortenberry,82M,"Chris Kattan,Will Ferrell,Raquel Gardner","         $9,604,791        

      (USA)
      ",1998,"Comedy,Music,Romance",6.2,"50,086"," $9,604,791"
8458,"$67,263,182","R,2002-05-24",Insomnia,"7.2 based on 228,766 user ratings","$46,000,000",Christopher Nolan,118M,"Al Pacino,Robin Williams,Hilary Swank","         $26,068,419        

      (USA)
      ",2002,"Drama,Mystery,Thriller",7.2,"228,766"," $26,068,419"
8459,"$126,930,660","PG-13,1999-11-19",The World Is Not Enough,"6.4 based on 162,583 user ratings","$135,000,000",Michael Apted,128M,"Pierce Brosnan,Sophie Marceau,Robert Carlyle","         $35,519,007        

      (USA)
      ",1999,"Action,Adventure,Thriller",6.4,"162,583"," $35,519,007"
8460,"$112,225,777","R,1997-06-27",Face/Off,"7.3 based on 295,968 user ratings","$80,000,000",John Woo,138M,"John Travolta,Nicolas Cage,Joan Allen","         $23,387,530        

      (USA)
      ",1997,"Action,Crime,Sci-Fi",7.3,"295,968"," $23,387,530"
8461,"$136,023,813","PG-13,1998-05-20",Godzilla,"5.3 based on 157,370 user ratings","$130,000,000",Roland Emmerich,139M,"Matthew Broderick,Jean Reno,Maria Pitillo","         $55,726,951        

      (USA)
      ",1998,"Action,Sci-Fi,Thriller",5.3,"157,370"," $55,726,951"
8462,"$140,459,099","PG-13,1998-05-08",Deep Impact,"6.1 based on 139,828 user ratings","$75,000,000",Mimi Leder,120M,"Robert Duvall,Téa Leoni,Elijah Wood","         $41,152,375        

      (USA)
      ",1998,"Action,Drama,Romance",6.1,"139,828"," $41,152,375"
8463,"$53,300,852","R,1996-10-18",Sleepers,"7.6 based on 160,469 user ratings","$44,000,000",Barry Levinson,147M,"Robert De Niro,Kevin Bacon,Brad Pitt","         $12,305,745        

      (USA)
      ",1996,"Crime,Drama,Thriller",7.6,"160,469"," $12,305,745"
8465,"$125,332,007","PG-13,1997-12-19",Tomorrow Never Dies,"6.5 based on 154,853 user ratings","$110,000,000",Roger Spottiswoode,119M,"Pierce Brosnan,Jonathan Pryce,Michelle Yeoh","         $6,100,000        

      (Non-US)
      ",1997,"Action,Adventure,Thriller",6.5,"154,853"," $6,100,000"
8469,"$2,208,939","R,2007-01-05",Perfume: The Story of a Murderer,"7.5 based on 198,930 user ratings","€50,000,000",Tom Tykwer,147M,"Ben Whishaw,Dustin Hoffman,Alan Rickman","         £485,200        

      (UK)
      ",2006,"Crime,Drama,Fantasy",7.5,"198,930"," £485,200"
8491,"$49,413","R,2006-10-19",Exiled,"7.3 based on 7,197 user ratings","HKD 35,000,000",Johnnie To,110M,"Nick Cheung,Anthony Chau-Sang Wong,Francis Chun-Yu Ng","         $20,351        

      (USA)
      ",2006,"Action,Crime,Thriller",7.3,"7,197"," $20,351"
8498,"$1,309,849","PG,2003-06-27",Nicholas Nickleby,"7.2 based on 9,750 user ratings","$10,000,000",Douglas McGrath,132M,"Charlie Hunnam,Jamie Bell,Christopher Plummer","         $42,864        

      (USA)
      ",2002,"Drama,Romance",7.2,"9,750"," $42,864"
8500,"$41,252,428","PG-13,1996-11-15",The Mirror Has Two Faces,"6.5 based on 11,935 user ratings","$42,000,000",Barbra Streisand,126M,"Barbra Streisand,Jeff Bridges,Lauren Bacall","         $12,210,868        

      (USA)
      ",1996,"Comedy,Drama,Romance",6.5,"11,935"," $12,210,868"
8501,"$136,432","R,2006-08-25",Severance,"6.5 based on 32,736 user ratings","£5,000,000",Christopher Smith,96M,"Danny Dyer,Laura Harris,Tim McInnerny","         £483,152        

      (UK)
      ",2006,"Comedy,Horror,Thriller",6.5,"32,736"," £483,152"
8507,"$13,038,660","R,2000-01-21",Angela's Ashes,"7.3 based on 17,658 user ratings","$50,000,000",Alan Parker,145M,"Emily Watson,Robert Carlyle,Joe Breen","         $54,628        

      (USA)
      ",1999,Drama,7.3,"17,658"," $54,628"
8518,"$4,663,809","R,2006-09-29",The Science of Sleep,"7.3 based on 63,016 user ratings","$6,000,000",Michel Gondry,105M,"Gael García Bernal,Charlotte Gainsbourg,Miou-Miou","         $347,925        

      (USA)
      ",2006,"Comedy,Drama,Fantasy",7.3,"63,016"," $347,925"
8520,"$3,735,303","R,2008-05-09",Then She Found Me,"6.0 based on 8,749 user ratings","$3,500,000",Helen Hunt,100M,"Helen Hunt,Colin Firth,Bette Midler","         $72,594        

      (USA)
      ",2007,"Comedy,Drama,Romance",6.0,"8,749"," $72,594"
8521,"$63,826,569","PG-13,1997-09-19",In & Out,"6.3 based on 33,435 user ratings","$35,000,000",Frank Oz,90M,"Kevin Kline,Joan Cusack,Tom Selleck","         $15,019,821        

      (USA)
      ",1997,"Comedy,Romance",6.3,"33,435"," $15,019,821"
8539,"$47,329","R,2002-05-09",Interview with the Assassin,"6.6 based on 1,684 user ratings","$750,000",Neil Burger,88M,"Dylan Haggerty,Raymond J. Barry,Renee Faia","         $18,716        

      (USA)
      ",2002,Drama,6.6,"1,684"," $18,716"
8548,"$1,059,830","R,2001-09-19",No Man's Land,"8.0 based on 39,038 user ratings","FRF 14,000,000",Danis Tanovic,98M,"Branko Djuric,Rene Bitorajac,Filip Sovagovic","         $22,645        

      (USA)
      ",2001,"Drama,War",8.0,"39,038"," $22,645"
8560,"$12,987,647","R,2003-03-07",The Quiet American,"7.1 based on 24,508 user ratings","$30,000,000",Phillip Noyce,101M,"Michael Caine,Brendan Fraser,Do Thi Hai Yen","         $101,663        

      (USA)
      ",2002,"Drama,Mystery,Romance",7.1,"24,508"," $101,663"
8563,"$594,904","PG-13,2012-04-13",Blue Like Jazz,"5.9 based on 2,662 user ratings","$1,200,000",Steve Taylor,108M,"Marshall Allman,Claire Holt,Tania Raymonde","         $258,653        

      (USA)
      ",2012,"Comedy,Drama",5.9,"2,662"," $258,653"
8564,"$7,022,940","R,2002-04-05",Kissing Jessica Stein,"6.6 based on 14,384 user ratings","$1,000,000",Charles Herman-Wurmfeld,97M,"Jennifer Westfeldt,Heather Juergensen,Tovah Feldshuh","         $346,999        

      (USA)
      ",2001,"Comedy,Drama,Romance",6.6,"14,384"," $346,999"
8565,"$30,500,882","R,2004-08-20",Open Water,"5.7 based on 43,958 user ratings","$120,000",Chris Kentis,79M,"Blanchard Ryan,Daniel Travis,Saul Stein","         $1,100,943        

      (USA)
      ",2003,"Adventure,Biography,Drama",5.7,"43,958"," $1,100,943"
8566,"$597,420","R,2008-07-04",The Signal,"6.1 based on 18,688 user ratings","$50,000",David Bruckner,103M,"Anessa Ramsey,Justin Welborn,Scott Poythress","         $144,836        

      (USA)
      ",2007,"Horror,Sci-Fi,Thriller",6.1,"18,688"," $144,836"
8571,"$2,848,578","PG,2010-04-09",Letters to God,"6.3 based on 4,080 user ratings","$3,500,000",David Nixon,110M,"Tanner Maguire,Jeffrey Johnson,Robyn Lively","         $1,101,204        

      (USA)
      ",2010,"Drama,Family",6.3,"4,080"," $1,101,204"
8574,"$63,071,133","PG-13,1996-12-20",Beavis and Butt-Head Do America,"6.8 based on 44,474 user ratings","$12,000,000",Mike Judge,81M,"Mike Judge,Bruce Willis,Demi Moore","         $20,114,233        

      (USA)
      ",1996,"Animation,Adventure,Comedy",6.8,"44,474"," $20,114,233"
8586,"$1,198,612","PG-13,2008-03-28",Flawless,"6.8 based on 20,137 user ratings","$20,000,000",Michael Radford,108M,"Demi Moore,Michael Caine,Lambert Wilson","         $181,910        

      (USA)
      ",2007,"Crime,Drama,Thriller",6.8,"20,137"," $181,910"
8591,"$189,332","R,2009-08-06",Shrink,"6.7 based on 16,741 user ratings","$5,100,000",Jonas Pate,104M,"Kevin Spacey,Mark Webber,Keke Palmer","         $16,443        

      (USA)
      ",2009,"Comedy,Drama",6.7,"16,741"," $16,443"
8594,"$14,048,372","PG-13,1996-05-31",The Arrival,"6.3 based on 27,037 user ratings","$25,000,000",David Twohy,115M,"Charlie Sheen,Lindsay Crouse,Richard Schiff","         $184,261        

      (USA)
      ",1996,"Sci-Fi,Thriller",6.3,"27,037"," $184,261"
8597,"$33,592,700","PG-13,1994-12-23",Nell,"6.5 based on 23,571 user ratings","$31,000,000",Michael Apted,112M,"Jodie Foster,Liam Neeson,Natasha Richardson","         £902,923        

      (UK)
      ",1994,Drama,6.5,"23,571"," £902,923"
8598,"$20,916,309","PG,2009-08-21",Shorts,"4.8 based on 5,518 user ratings","$40,000,000",Robert Rodriguez,89M,"Jimmy Bennett,James Spader,Kat Dennings","         £171,876        

      (UK)
      ",2009,"Comedy,Family,Fantasy",4.8,"5,518"," £171,876"
8616,"$26,496,583","PG-13,2015-01-02",The Woman in Black 2: Angel of Death,"4.8 based on 21,482 user ratings","$15,000,000",Tom Harper,98M,"Helen McCrory,Jeremy Irvine,Phoebe Fox","         $15,027,415        

      (USA)
      ",2014,"Drama,Horror,Thriller",4.8,"21,482"," $15,027,415"
8621,"$66,002,193","PG-13,2016-03-18",Allegiant,"5.7 based on 69,631 user ratings","$110,000,000",Robert Schwentke,120M,"Shailene Woodley,Theo James,Jeff Daniels","         $29,027,348        

      (USA)
      ",2016,"Action,Adventure,Mystery",5.7,"69,631"," $29,027,348"
8626,"$17,750,583","R,2015-10-23",Steve Jobs,"7.2 based on 115,275 user ratings","$30,000,000",Danny Boyle,122M,"Michael Fassbender,Kate Winslet,Seth Rogen","         $521,522        

      (USA)
      ",2015,"Biography,Drama",7.2,"115,275"," $521,522"
8627,"$363,024,263","R,2016-02-12",Deadpool,"8.0 based on 621,747 user ratings","$58,000,000",Tim Miller,108M,"Ryan Reynolds,Morena Baccarin,T.J. Miller","         $135,050,000        

      (USA)
      ",2016,"Action,Adventure,Comedy",8.0,"621,747"," $135,050,000"
8629,"$47,167,650","PG-13,2016-06-10",Warcraft,"7.0 based on 185,454 user ratings","$160,000,000",Duncan Jones,123M,"Travis Fimmel,Paula Patton,Ben Foster","         $24,166,110        

      (USA)
      ",2016,"Action,Adventure,Fantasy",7.0,"185,454"," $24,166,110"
8630,"$22,464,430","R,2015-08-21",Hitman: Agent 47,"5.7 based on 70,354 user ratings","$35,000,000",Aleksander Bach,96M,"Rupert Friend,Hannah Ware,Zachary Quinto","         $8,326,530        

      (USA)
      ",2015,"Action,Crime,Thriller",5.7,"70,354"," $8,326,530"
8649,"$253,510","R,2016-01-15",Carol,"7.2 based on 77,353 user ratings","$11,800,000",Todd Haynes,118M,"Cate Blanchett,Rooney Mara,Sarah Paulson","         $253,510        

      (USA)
      ",2015,"Drama,Romance",7.2,"77,353"," $253,510"
8650,"$131,175","PG-13,2015-05-08",Maggie,"5.6 based on 33,792 user ratings","$8,500,000",Henry Hobson,95M,"Arnold Schwarzenegger,Abigail Breslin,Joely Richardson","         $131,175        

      (USA)
      ",2015,"Drama,Horror",5.6,"33,792"," $131,175"
8652,"$100,014,092","PG-13,2016-12-21",Passengers,"7.0 based on 180,309 user ratings","$110,000,000",Morten Tyldum,116M,"Jennifer Lawrence,Chris Pratt,Michael Sheen","         $15,055,000        

      (USA)
      ",2016,"Adventure,Drama,Romance",7.0,"180,309"," $15,055,000"
8657,"$350,123,553","R,2015-01-16",American Sniper,"7.3 based on 351,861 user ratings","$58,800,000",Clint Eastwood,133M,"Bradley Cooper,Sienna Miller,Kyle Gallner","         $676,909        

      (USA)
      ",2014,"Action,Biography,Drama",7.3,"351,861"," $676,909"
8669,"$83,861","NOT RATED,2015-10-16",Beasts of No Nation,"7.8 based on 49,906 user ratings","$6,000,000",Cary Joji Fukunaga,137M,"Abraham Attah,Emmanuel Affadzi,Ricky Adelayitor","         $51,003        

      (USA)
      ",2015,"Drama,War",7.8,"49,906"," $51,003"
8676,"$10,907,291","PG-13,2016-02-05",Pride and Prejudice and Zombies,"5.8 based on 34,633 user ratings","$28,000,000",Burr Steers,108M,"Lily James,Sam Riley,Jack Huston","         $5,324,240        

      (USA)
      ",2016,"Action,Horror,Romance",5.8,"34,633"," $5,324,240"
8695,"$8,093,318","R,2015-01-09",Inherent Vice,"6.7 based on 69,091 user ratings","$20,000,000",Paul Thomas Anderson,148M,"Joaquin Phoenix,Josh Brolin,Owen Wilson","         $328,184        

      (USA)
      ",2014,"Comedy,Crime,Drama",6.7,"69,091"," $328,184"
8728,"$34,257,924","PG-13,2016-10-28",Inferno,"6.2 based on 95,456 user ratings","$75,000,000",Ron Howard,121M,"Tom Hanks,Felicity Jones,Irrfan Khan","         $14,860,425        

      (USA)
      ",2016,"Action,Adventure,Crime",6.2,"95,456"," $14,860,425"
8730,"$61,284,947","PG-13,2016-09-30",Deepwater Horizon,"7.2 based on 87,217 user ratings","$110,000,000",Peter Berg,107M,"Mark Wahlberg,Kurt Russell,Douglas M. Griffin","         $20,223,544        

      (USA)
      ",2016,"Action,Drama,Thriller",7.2,"87,217"," $20,223,544"
8731,"$35,537,564","R,2016-01-22",Dirty Grandpa,"6.0 based on 74,128 user ratings","$27,500,000",Dan Mazer,102M,"Robert De Niro,Zac Efron,Zoey Deutch","         $11,111,875        

      (USA)
      ",2016,Comedy,6.0,"74,128"," $11,111,875"
8732,"$55,472,665","PG,2016-07-01",The BFG,"6.4 based on 49,698 user ratings","$140,000,000",Steven Spielberg,117M,"Mark Rylance,Ruby Barnhill,Penelope Wilton","         $19,584,969        

      (USA)
      ",2016,"Adventure,Family,Fantasy",6.4,"49,698"," $19,584,969"
8733,"$126,585,313","PG-13,2016-07-01",The Legend of Tarzan,"6.3 based on 115,575 user ratings","$180,000,000",David Yates,110M,"Alexander Skarsgård,Rory J. Saper,Christian Stevens","         $38,135,000        

      (USA)
      ",2016,"Action,Adventure,Drama",6.3,"115,575"," $38,135,000"
8735,"$541,226","PG-13,2016-06-03",Teenage Mutant Ninja Turtles: Out of the Shadows,"6.0 based on 58,498 user ratings","$135,000,000",Dave Green,112M,"Megan Fox,Will Arnett,Tyler Perry","         $35,316,382        

      (USA)
      ",2016,"Action,Adventure,Comedy",6.0,"58,498"," $35,316,382"
8736,"$77,037,635","PG,2016-05-27",Alice Through the Looking Glass,"6.2 based on 56,199 user ratings","$170,000,000",James Bobin,113M,"Mia Wasikowska,Johnny Depp,Helena Bonham Carter","         $28,112,000        

      (USA)
      ",2016,"Adventure,Family,Fantasy",6.2,"56,199"," $28,112,000"
8737,"$38,158,272","PG,2017-04-07",Smurfs: The Lost Village,"5.8 based on 3,095 user ratings","$60,000,000",Kelly Asbury,90M,"Demi Lovato,Rainn Wilson,Joe Manganiello","         $13,210,449        

      (USA)
      ",2017,"Animation,Adventure,Comedy",5.8,"3,095"," $13,210,449"
8739,"$64,060,187","PG,2016-07-22",Ice Age: Collision Course,"5.7 based on 33,930 user ratings","$105,000,000",Mike Thurmeier,94M,"Ray Romano,Denis Leary,John Leguizamo","         $21,373,064        

      (USA)
      ",2016,"Animation,Adventure,Comedy",5.7,"33,930"," $21,373,064"
8741,"$149,206,615","PG,2017-03-31",The Boss Baby,"6.5 based on 13,737 user ratings","$125,000,000",Tom McGrath,97M,"Alec Baldwin,Steve Buscemi,Jimmy Kimmel","         $50,198,902        

      (USA)
      ",2017,"Animation,Comedy,Family",6.5,"13,737"," $50,198,902"
8742,"$31,141,074","PG-13,2016-02-26",Gods of Egypt,"5.5 based on 72,743 user ratings","$140,000,000",Alex Proyas,126M,"Brenton Thwaites,Nikolaj Coster-Waldau,Gerard Butler","         $14,123,903        

      (USA)
      ",2016,"Action,Adventure,Fantasy",5.5,"72,743"," $14,123,903"
8744,"$27,550,735","PG-13,2016-01-29",The Finest Hours,"6.8 based on 43,946 user ratings","$80,000,000",Craig Gillespie,117M,"Chris Pine,Casey Affleck,Ben Foster","         $10,288,932        

      (USA)
      ",2016,"Action,Drama,History",6.8,"43,946"," $10,288,932"
8745,"$34,912,982","PG-13,2016-01-22",The 5th Wave,"5.2 based on 72,563 user ratings","$38,000,000",J Blakeson,112M,"Chloë Grace Moretz,Matthew Zuk,Gabriela Lopez","         $10,326,356        

      (USA)
      ",2016,"Action,Adventure,Sci-Fi",5.2,"72,563"," $10,326,356"
8746,"$26,384,681","PG-13,2016-08-19",Ben-Hur,"5.7 based on 27,794 user ratings","$100,000,000",Timur Bekmambetov,123M,"Jack Huston,Toby Kebbell,Rodrigo Santoro","         $11,203,815        

      (USA)
      ",2016,"Action,Adventure,Drama",5.7,"27,794"," $11,203,815"
8747,"$341,264,012","PG,2016-03-04",Zootopia,"8.1 based on 292,529 user ratings","$150,000,000",Byron Howard,108M,"Ginnifer Goodwin,Jason Bateman,Idris Elba","         $75,063,401        

      (USA)
      ",2016,"Animation,Adventure,Comedy",8.1,"292,529"," $75,063,401"
8748,"$21,203,260","R,2016-08-26",Mechanic: Resurrection,"5.6 based on 47,133 user ratings","$40,000,000",Dennis Gansel,98M,"Jason Statham,Jessica Alba,Tommy Lee Jones","         $7,456,525        

      (USA)
      ",2016,"Action,Adventure,Crime",5.6,"47,133"," $7,456,525"
8749,"$26,583,369","PG-13,2016-01-08",The Forest,"4.8 based on 28,596 user ratings","$10,000,000",Jason Zada,93M,"Natalie Dormer,Eoin Macken,Stephanie Vogt","         $12,741,176        

      (USA)
      ",2016,"Horror,Mystery,Thriller",4.8,"28,596"," $12,741,176"
8750,"$85,884,815","PG,2015-12-18",Alvin and the Chipmunks: The Road Chip,"5.1 based on 11,336 user ratings","$90,000,000",Walt Becker,92M,"Jason Lee,Justin Long,Matthew Gray Gubler","         $14,287,159        

      (USA)
      ",2015,"Animation,Adventure,Comedy",5.1,"11,336"," $14,287,159"
8751,"$42,592,530","PG-13,2015-12-04",Krampus,"6.2 based on 41,841 user ratings","$15,000,000",Michael Dougherty,98M,"Adam Scott,Toni Collette,David Koechner","         $16,293,325        

      (USA)
      ",2015,"Comedy,Fantasy,Horror",6.2,"41,841"," $16,293,325"
8752,"$87,028,670","R,2015-12-18",Sisters,"6.0 based on 49,919 user ratings","$30,000,000",Jason Moore,118M,"Amy Poehler,Tina Fey,Maya Rudolph","         $13,922,855        

      (USA)
      ",2015,Comedy,6.0,"49,919"," $13,922,855"
8754,"$43,035,725","R,2015-11-20",The Night Before,"6.4 based on 43,797 user ratings","$25,000,000",Jonathan Levine,101M,"Joseph Gordon-Levitt,Seth Rogen,Jillian Bell","         $9,880,536        

      (USA)
      ",2015,Comedy,6.4,"43,797"," $9,880,536"
8756,"$130,174,897","G,2015-11-06",The Peanuts Movie,"7.1 based on 33,573 user ratings","$99,000,000",Steve Martino,88M,"Noah Schnapp,Bill Melendez,Hadley Belle Miller","         $44,213,073        

      (USA)
      ",2015,"Animation,Adventure,Comedy",7.1,"33,573"," $44,213,073"
8757,"$3,635,292","R,2015-10-30",Scouts Guide to the Zombie Apocalypse,"6.3 based on 31,378 user ratings","$15,000,000",Christopher Landon,93M,"Tye Sheridan,Logan Miller,Joey Morgan","         $1,841,007        

      (USA)
      ",2015,"Action,Comedy,Horror",6.3,"31,378"," $1,841,007"
8759,"$2,411,580","R,2016-09-09",The Disappointments Room,"3.9 based on 4,431 user ratings","$15,000,000",D.J. Caruso,85M,"Kate Beckinsale,Mel Raido,Duncan Joiner","         $1,402,823        

      (USA)
      ",2016,"Drama,Horror,Thriller",3.9,"4,431"," $1,402,823"
8760,"$27,356,090","PG-13,2015-10-23",The Last Witch Hunter,"6.0 based on 70,478 user ratings","$90,000,000",Breck Eisner,106M,"Vin Diesel,Rose Leslie,Elijah Wood","         $10,812,861        

      (USA)
      ",2015,"Action,Adventure,Fantasy",6.0,"70,478"," $10,812,861"
8761,"$58,879,132","R,2015-07-29",Vacation,"6.1 based on 74,191 user ratings","$31,000,000",John Francis Daley,99M,"Ed Helms,Christina Applegate,Skyler Gisondo","         $14,681,108        

      (USA)
      ",2015,"Adventure,Comedy",6.1,"74,191"," $14,681,108"
8762,"$62,401,264","R,2016-03-04",London Has Fallen,"5.9 based on 99,759 user ratings","$60,000,000",Babak Najafi,99M,"Gerard Butler,Aaron Eckhart,Morgan Freeman","         $21,635,601        

      (USA)
      ",2016,"Action,Crime,Drama",5.9,"99,759"," $21,635,601"
8763,"$10,137,502","PG,2015-10-09",The Walk,"7.4 based on 91,805 user ratings","$35,000,000",Robert Zemeckis,123M,"Joseph Gordon-Levitt,Charlotte Le Bon,Guillaume Baillargeon","         $1,560,299        

      (USA)
      ",2015,"Adventure,Biography,Crime",7.4,"91,805"," $1,560,299"
8764,"$65,069,140","PG-13,2015-09-11",The Visit,"6.2 based on 80,622 user ratings","$5,000,000",M. Night Shyamalan,94M,"Olivia DeJonge,Ed Oxenbould,Deanna Dunagan","         $25,427,560        

      (USA)
      ",2015,"Comedy,Horror,Thriller",6.2,"80,622"," $25,427,560"
8765,"$12,626,905","R,2016-02-26",Triple 9,"6.3 based on 47,794 user ratings","$20,000,000",John Hillcoat,115M,"Casey Affleck,Chiwetel Ejiofor,Anthony Mackie","         $6,109,085        

      (USA)
      ",2016,"Action,Crime,Drama",6.3,"47,794"," $6,109,085"
8766,"$33,038,182","PG,2017-01-13",Monster Trucks,"5.6 based on 6,285 user ratings","$125,000,000",Chris Wedge,104M,"Lucas Till,Jane Levy,Thomas Lennon","         $10,500,000        

      (USA)
      ",2016,"Action,Adventure,Comedy",5.6,"6,285"," $10,500,000"
8767,"$10,640,645","R,2015-03-20",The Gunman,"5.8 based on 30,973 user ratings","$40,000,000",Pierre Morel,115M,"Sean Penn,Idris Elba,Jasmine Trinca","         $5,028,702        

      (USA)
      ",2015,"Action,Crime,Drama",5.8,"30,973"," $5,028,702"
8768,"$10,214,013","R,2015-03-06",Unfinished Business,"5.4 based on 25,265 user ratings","$35,000,000",Ken Scott,91M,"Vince Vaughn,Dave Franco,Tom Wilkinson","         $4,772,613        

      (USA)
      ",2015,Comedy,5.4,"25,265"," $4,772,613"
8770,"$18,247,445","R,2015-10-23",Paranormal Activity: The Ghost Dimension,"4.6 based on 18,235 user ratings","$10,000,000",Gregory Plotkin,88M,"Chris J. Murray,Brit Shaw,Ivy George","         $8,070,493        

      (USA)
      ",2015,Horror,4.6,"18,235"," $8,070,493"
8771,"$16,027,866","PG-13,2015-09-04",The Transporter Refueled,"5.1 based on 30,599 user ratings","$25,000,000",Camille Delamarre,96M,"Ed Skrein,Loan Chabanol,Ray Stevenson","         $7,130,000        

      (USA)
      ",2015,"Action,Crime,Thriller",5.1,"30,599"," $7,130,000"
8772,"$34,507,079","PG-13,2015-05-08",Hot Pursuit,"5.1 based on 38,804 user ratings","$35,000,000",Anne Fletcher,87M,"Reese Witherspoon,Sofía Vergara,Matthew Del Negro","         $13,942,258        

      (USA)
      ",2015,"Action,Comedy,Crime",5.1,"38,804"," $13,942,258"
8773,"$22,757,819","R,2015-07-10",The Gallows,"4.2 based on 15,335 user ratings","$100,000",Travis Cluff,81M,"Reese Mishler,Pfeifer Brown,Ryan Shoos","         $10,015,000        

      (USA)
      ",2015,"Horror,Thriller",4.2,"15,335"," $10,015,000"
8774,"$183,436,380","PG-13,2015-05-15",Pitch Perfect 2,"6.5 based on 107,793 user ratings","$29,000,000",Elizabeth Banks,115M,"Anna Kendrick,Rebel Wilson,Hailee Steinfeld","         $70,300,000        

      (USA)
      ",2015,"Comedy,Music",6.5,"107,793"," $70,300,000"
8775,"$56,228,651","PG-13,2016-06-03",Me Before You,"7.4 based on 111,413 user ratings","$20,000,000",Thea Sharrock,106M,"Emilia Clarke,Sam Claflin,Janet McTeer","         $18,723,269        

      (USA)
      ",2016,"Drama,Romance",7.4,"111,413"," $18,723,269"
8776,"$52,200,504","PG-13,2015-06-05",Insidious: Chapter 3,"6.1 based on 63,032 user ratings","$10,000,000",Leigh Whannell,97M,"Dermot Mulroney,Stefanie Scott,Angus Sampson","         $22,692,741        

      (USA)
      ",2015,"Horror,Thriller",6.1,"63,032"," $22,692,741"
8777,"$28,772,222","PG-13,2015-12-25",Point Break,"5.3 based on 44,228 user ratings","$105,000,000",Ericson Core,114M,"Edgar Ramírez,Luke Bracey,Ray Winstone","         $9,805,000        

      (USA)
      ",2015,"Action,Crime,Sport",5.3,"44,228"," $9,805,000"
8778,"$14,268,533","R,2016-04-15",Criminal,"6.3 based on 37,707 user ratings","$31,500,000",Ariel Vromen,113M,"Kevin Costner,Ryan Reynolds,Gal Gadot","         $5,767,278        

      (USA)
      ",2016,"Action,Crime,Drama",6.3,"37,707"," $5,767,278"
8779,"$43,017,433","R,2016-08-19",War Dogs,"7.1 based on 103,896 user ratings","$40,000,000",Todd Phillips,114M,"Jonah Hill,Miles Teller,Steve Lantz","         $14,685,305        

      (USA)
      ",2016,"Comedy,Crime,Drama",7.1,"103,896"," $14,685,305"
8781,"$155,181,732","PG-13,2015-05-29",San Andreas,"6.1 based on 160,593 user ratings","$110,000,000",Brad Peyton,114M,"Dwayne Johnson,Carla Gugino,Alexandra Daddario","         $54,588,173        

      (USA)
      ",2015,"Action,Adventure,Drama",6.1,"160,593"," $54,588,173"
8783,"$54,116,191","R,2015-12-30",The Hateful Eight,"7.8 based on 338,424 user ratings","$44,000,000",Quentin Tarantino,187M,"Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh","         $4,610,676        

      (USA)
      ",2015,"Crime,Drama,Mystery",7.8,"338,424"," $4,610,676"
8786,"$56,443,482","PG-13,2015-12-25",Joy,"6.6 based on 96,956 user ratings","$60,000,000",David O. Russell,124M,"Jennifer Lawrence,Robert De Niro,Bradley Cooper","         $17,015,168        

      (USA)
      ",2015,Drama,6.6,"96,956"," $17,015,168"
8792,"$29,997,095","PG-13,2016-02-05","Hail, Caesar!","6.3 based on 88,186 user ratings","$22,000,000",Ethan Coen,106M,"Josh Brolin,George Clooney,Alden Ehrenreich","         $11,355,225        

      (USA)
      ",2016,"Comedy,Mystery",6.3,"88,186"," $11,355,225"
8795,"$325,021,779","PG-13,2016-08-05",Suicide Squad,"6.3 based on 386,259 user ratings","$175,000,000",David Ayer,123M,"Will Smith,Jared Leto,Margot Robbie","         $133,682,248        

      (USA)
      ",2016,"Action,Adventure,Fantasy",6.3,"386,259"," $133,682,248"
8801,"$228,430,993","PG-13,2015-10-02",The Martian,"8.0 based on 552,705 user ratings","$108,000,000",Ridley Scott,144M,"Matt Damon,Jessica Chastain,Kristen Wiig","         $54,308,575        

      (USA)
      ",2015,"Adventure,Drama,Sci-Fi",8.0,"552,705"," $54,308,575"
