,gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre,rating,audience,First_Week
2137,"$2,626,800","R,2007-07-13",Captivity,"4.7 based on 20,970 user ratings","$17,000,000",Roland Joffé,96M,"Elisha Cuthbert,Daniel Gillies,Pruitt Taylor Vince","         £329,193        

      (UK)
      ",2007,"Crime,Mystery,Thriller",4.7,"20,970"," £329,193"
2139,"$77,413,017","G,2005-07-22",March of the Penguins,"7.6 based on 49,053 user ratings","$8,000,000",Luc Jacquet,80M,"Morgan Freeman,Charles Berling,Romane Bohringer","         $2,383,709        

      (France)
      ",2005,"Documentary,Family",7.6,"49,053"," $2,383,709"
2140,"$32,645,546","PG,2005-02-18",Because of Winn-Dixie,"6.4 based on 8,809 user ratings","$14,000,000",Wayne Wang,106M,"AnnaSophia Robb,Jeff Daniels,Eva Marie Saint","         $13,218,723        

      (USA)
      ",2005,"Comedy,Drama,Family",6.4,"8,809"," $13,218,723"
2141,"$16,964,743","PG-13,2004-01-23",Win a Date with Tad Hamilton!,"5.6 based on 23,517 user ratings","$24,000,000",Robert Luketic,95M,"Kate Bosworth,Josh Duhamel,Topher Grace","         $7,320,066        

      (USA)
      ",2004,"Comedy,Romance",5.6,"23,517"," $7,320,066"
2142,"$16,323,969","PG-13,2004-04-09",The Whole Ten Yards,"5.5 based on 47,304 user ratings","$40,000,000",Howard Deutch,98M,"Bruce Willis,Matthew Perry,Natasha Henstridge","         $6,685,381        

      (USA)
      ",2004,"Comedy,Crime,Thriller",5.5,"47,304"," $6,685,381"
2143,"$8,326,035","PG-13,2005-09-09",The Man,"5.5 based on 22,462 user ratings","$33,000,000",Les Mayfield,83M,"Samuel L. Jackson,Eugene Levy,Miguel Ferrer","         £329,233        

      (UK)
      ",2005,"Action,Comedy,Crime",5.5,"22,462"," £329,233"
2144,"$25,195,050","R,2004-02-27",Twisted,"5.2 based on 17,680 user ratings","$50,000,000",Philip Kaufman,97M,"Ashley Judd,Samuel L. Jackson,Andy Garcia","         $8,904,299        

      (USA)
      ",2004,"Crime,Drama,Mystery",5.2,"17,680"," $8,904,299"
2145,"$9,013,113","R,2006-03-03",Transamerica,"7.4 based on 37,151 user ratings","$1,000,000",Duncan Tucker,103M,"Felicity Huffman,Kevin Zegers,Fionnula Flanagan","         $46,908        

      (USA)
      ",2005,"Adventure,Comedy,Drama",7.4,"37,151"," $46,908"
2146,"$9,109,322","PG,2004-08-27",Superbabies: Baby Geniuses 2,"2.0 based on 26,270 user ratings","$20,000,000",Bob Clark,88M,"Jon Voight,Scott Baio,Vanessa Angel","         $3,251,856        

      (USA)
      ",2004,"Comedy,Family,Sci-Fi",2.0,"26,270"," $3,251,856"
2147,"$4,357,745","R,2004-03-12",Spartan,"6.6 based on 27,109 user ratings","$19,250,000",David Mamet,106M,"Val Kilmer,Derek Luke,William H. Macy","         $2,011,435        

      (USA)
      ",2004,"Action,Crime,Drama",6.6,"27,109"," $2,011,435"
2150,"$10,387,706","PG-13,2004-01-30",The Perfect Score,"5.7 based on 20,427 user ratings","$40,000,000",Brian Robbins,93M,"Scarlett Johansson,Erika Christensen,Chris Evans","         $4,873,819        

      (USA)
      ",2004,"Comedy,Crime",5.7,"20,427"," $4,873,819"
2151,"$20,422,207","PG-13,2004-08-06",Little Black Book,"5.3 based on 15,558 user ratings","$35,000,000",Nick Hurran,111M,"Brittany Murphy,Ron Livingston,Holly Hunter","         $7,075,217        

      (USA)
      ",2004,"Comedy,Romance,Drama",5.3,"15,558"," $7,075,217"
