gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre
"        $21,468,807        

      ","R,2000-09-22",Urban Legends: Final Cut,"4.1 based on 13,512 user ratings","        $14,000,000        

      ",John Ottman,PT97M,"Jennifer Morrison,Matthew Davis,Hart Bochner","         $8,505,513        

      (USA)
      ",2000,"Horror,Mystery,Romance"
"        $16,930,185        

      ","PG-13,2002-08-23",Serving Sara,"5.3 based on 14,809 user ratings","        $29,000,000        

      ",Reginald Hudlin,PT99M,"Matthew Perry,Elizabeth Hurley,Bruce Campbell","         $5,758,236        

      (USA)
      ",2002,"Comedy,Romance"
"        $4,839,383        

      ","PG-13,2002-05-03",Hollywood Ending,"6.6 based on 22,611 user ratings","        $16,000,000        

      ",Woody Allen,PT112M,"Woody Allen,Téa Leoni,Bob Dorian","         $2,017,981        

      (USA)
      ",2002,"Comedy,Romance"
"        $28,535,768        

      ","PG-13,1999-04-02",The Out-of-Towners,"5.3 based on 10,948 user ratings","        $75,000,000        

      ",Sam Weisman,PT90M,"Steve Martin,Goldie Hawn,John Cleese","         $8,224,215        

      (USA)
      ",1999,Comedy
"        $36,696,761        

      ","G,2001-02-16",Recess: School's Out,"6.6 based on 7,268 user ratings","        $23,000,000        

      ",Chuck Sheetz,PT82M,"Andrew Lawrence,Rickey D'Shon Collins,Jason Davis","         $13,455,016        

      (USA)
      ",2001,"Animation,Family,Comedy"
"        $15,156,200        

      ","R,1999-03-12",The Corruptor,"6.0 based on 15,709 user ratings","        $25,000,000        

      ",James Foley,PT110M,"Yun-Fat Chow,Mark Wahlberg,Ric Young","         $5,765,300        

      (USA)
      ",1999,"Action,Crime,Drama"
"        $21,731,001        

      ","PG-13,1999-11-05",The Bachelor,"5.0 based on 15,153 user ratings","        $51,000,000        

      ",Gary Sinyor,PT101M,"Chris O'Donnell,Renée Zellweger,Artie Lange","         $7,480,288        

      (USA)
      ",1999,Comedy
"        $12,829,351        

      ","PG-13,1998-05-01",Black Dog,"5.3 based on 7,010 user ratings",,Kevin Hooks,PT89M,"Patrick Swayze,Randy Travis,Meat Loaf","         $4,809,375        

      (USA)
      ",1998,"Action,Crime,Drama"
"        $1,954,202        

      ","PG-13,1999-10-22",Crazy in Alabama,"6.3 based on 6,047 user ratings","        $15,000,000        

      ",Antonio Banderas,PT111M,"Melanie Griffith,David Morse,Lucas Black","         $1,010,596        

      (USA)
      ",1999,"Comedy,Crime,Drama"
"        $4,052,347        

      ","R,1997-10-17",Playing God,"5.6 based on 6,526 user ratings","        $12,000,000        

      ",Andy Wilson,PT94M,"David Duchovny,Timothy Hutton,Angelina Jolie","         $1,937,374        

      (USA)
      ",1997,"Crime,Thriller,Drama"
