Date,Bid,Ask,Mid,Change,% Change,Cumulative Change %,High,Low
06/16/16,0.014863,0.014865,0.014864,0.00,-0.22,-92.89,0.014864,0.014864
06/15/16,0.014896,0.014899,0.014898,0.00,0.19,-92.87,0.014898,0.014898
06/14/16,0.014868,0.014870,0.014869,0.00,-0.22,-92.89,0.014869,0.014869
06/13/16,0.014901,0.014903,0.014902,0.00,-0.47,-92.87,0.014902,0.014902
06/10/16,0.014971,0.014972,0.014972,0.00,-0.06,-92.84,0.014972,0.014972
06/09/16,0.014979,0.014981,0.014980,0.00,-0.14,-92.83,0.014980,0.014980
06/08/16,0.015000,0.015002,0.015001,0.00,0.14,-92.82,0.015001,0.015001
06/07/16,0.014979,0.014981,0.014980,0.00,0.43,-92.83,0.014980,0.014980
06/06/16,0.014915,0.014918,0.014916,0.00,0.41,-92.86,0.014916,0.014916
06/03/16,0.014854,0.014857,0.014856,0.00,-0.03,-92.89,0.014856,0.014856
06/02/16,0.014858,0.014861,0.014860,0.00,0.19,-92.89,0.014860,0.014860
06/01/16,0.014831,0.014832,0.014832,0.00,-0.20,-92.90,0.014832,0.014832
05/31/16,0.014861,0.014863,0.014862,0.00,-0.10,-92.89,0.014862,0.014862
05/30/16,0.014877,0.014879,0.014878,0.00,-0.26,-92.88,0.014878,0.014878
05/27/16,0.014916,0.014918,0.014917,0.00,0.16,-92.86,0.014917,0.014917
05/26/16,0.014892,0.014894,0.014893,0.00,0.35,-92.87,0.014893,0.014893
05/25/16,0.014840,0.014842,0.014841,0.00,0.43,-92.90,0.014841,0.014841
05/24/16,0.014777,0.014779,0.014778,0.00,-0.30,-92.93,0.014778,0.014778
05/23/16,0.014821,0.014824,0.014823,0.00,0.01,-92.91,0.014823,0.014823
05/20/16,0.014819,0.014821,0.014820,0.00,-0.15,-92.91,0.014820,0.014820
05/19/16,0.014841,0.014843,0.014842,0.00,-0.59,-92.90,0.014842,0.014842
05/18/16,0.014929,0.014931,0.014930,0.00,-0.23,-92.86,0.014930,0.014930
05/17/16,0.014963,0.014966,0.014964,0.00,-0.02,-92.84,0.014964,0.014964
05/16/16,0.014966,0.014968,0.014967,0.00,-0.07,-92.84,0.014967,0.014967
05/13/16,0.014976,0.014978,0.014977,0.00,-0.18,-92.83,0.014977,0.014977
05/12/16,0.015004,0.015006,0.015005,0.00,-0.06,-92.82,0.015005,0.015005
05/11/16,0.015013,0.015015,0.015014,0.00,0.05,-92.82,0.015014,0.015014
05/10/16,0.015006,0.015008,0.015007,0.00,-0.15,-92.82,0.015007,0.015007
05/09/16,0.015029,0.015031,0.015030,0.00,0.08,-92.81,0.015030,0.015030
05/06/16,0.015017,0.015020,0.015018,0.00,-0.06,-92.81,0.015018,0.015018
