"","player_name","FG.Percent","FG.Count","ThreePoint.Percent","Three.Count"
"86","goran dragic",0.5,736,0.355329949238579,197
"87","gordon hayward",0.448883666274971,851,0.367816091954023,261
"88","gorgui dieng",0.4975,400,0,1
"89","greivis vasquez",0.407129455909944,533,0.365461847389558,249
"90","harrison barnes",0.487695749440716,447,0.417808219178082,146
"91","hedo turkoglu",0.444444444444444,99,0.4375,64
"92","henry sims",0.484486873508353,419,0.235294117647059,17
"93","hollis thompson",0.406060606060606,330,0.378531073446328,177
"94","isaiah thomas",0.421585160202361,593,0.377682403433476,233
"95","jakarr sampson",0.458128078817734,203,0.3125,64
"96","jamal crawford",0.409266409266409,777,0.346749226006192,323
"97","james ennis",0.396103896103896,154,0.309090909090909,55
"98","james harden",0.452015355086372,1042,0.384039900249377,401
"99","james johnson",0.622516556291391,302,0.236842105263158,38
"100","jared dudley",0.485795454545455,352,0.417721518987342,158
"101","jared sullinger",0.449230769230769,650,0.294117647058824,170
"102","jarrett jack",0.452380952380952,588,0.25,88
"103","jason smith",0.450471698113208,424,0.384615384615385,13
"104","jason terry",0.417445482866044,321,0.384279475982533,229
"105","jeff green",0.426917510853835,691,0.32093023255814,215
"106","jeff teague",0.464285714285714,672,0.339393939393939,165
"107","jerami grant",0.386792452830189,212,0.378048780487805,82
"108","jeremy lamb",0.420091324200913,219,0.36734693877551,98
"109","jeremy lin",0.43960396039604,505,0.371428571428571,140
"110","jerryd bayless",0.448979591836735,392,0.352941176470588,85
"111","jimmer fredette",0.376712328767123,146,0.146341463414634,41
"112","jimmy butler",0.469895287958115,764,0.373417721518987,158
"113","jj redick",0.4576,625,0.413680781758958,307
"114","joe harris",0.404255319148936,94,0.388059701492537,67
"115","joe ingles",0.410958904109589,219,0.3203125,128
"116","joe johnson",0.44,750,0.373949579831933,238
"117","john wall",0.453908984830805,857,0.30718954248366,153
"118","jon leuer",0.438247011952191,251,0.2,25
